fips,stcd,district,pop2010
17,IL,003,101435
17,IL,004,92536
17,IL,005,102436
17,IL,006,86931
17,IL,007,97427
17,IL,008,94072
17,IL,009,112861
17,IL,010,95447
17,IL,011,108125
17,IL,012,99579
17,IL,013,94987
17,IL,014,93160
17,IL,015,104676
17,IL,016,105607
17,IL,017,108911
17,IL,018,103308
17,IL,019,104460
17,IL,020,105228
17,IL,021,106993
17,IL,022,111664
17,IL,023,104427
17,IL,024,104433
17,IL,025,91147
17,IL,026,114220
17,IL,027,97634
17,IL,028,93237
17,IL,029,96394
17,IL,030,98066
17,IL,031,98298
17,IL,032,93008
17,IL,033,93407
17,IL,034,95793
17,IL,035,105864
17,IL,036,103284
17,IL,037,110739
17,IL,038,111279
17,IL,039,95126
17,IL,040,92752
17,IL,041,102941
17,IL,042,106361
17,IL,043,108419
17,IL,044,113164
17,IL,045,105943
17,IL,046,107630
17,IL,047,102695
17,IL,048,105111
17,IL,049,154080
17,IL,050,178899
17,IL,051,117696
17,IL,052,130902
17,IL,053,101209
17,IL,054,106744
17,IL,055,113841
17,IL,056,102327
17,IL,057,104842
17,IL,058,101562
17,IL,059,112327
17,IL,060,101630
17,IL,061,120629
17,IL,062,117334
17,IL,063,122290
17,IL,064,132417
17,IL,065,105147
17,IL,066,104069
17,IL,067,103737
17,IL,068,117743
17,IL,069,123633
17,IL,070,121976
17,IL,071,104867
17,IL,072,101862
17,IL,073,117527
17,IL,074,100949
17,IL,075,125585
17,IL,076,105699
17,IL,077,100987
17,IL,078,100580
17,IL,079,115123
17,IL,080,105281
17,IL,081,142036
17,IL,082,108906
17,IL,083,135617
17,IL,084,202008
17,IL,085,139496
17,IL,086,113396
17,IL,087,106764
17,IL,088,118626
17,IL,089,106266
17,IL,090,103604
17,IL,091,105176
17,IL,092,97673
17,IL,093,103943
17,IL,094,100005
17,IL,095,107623
17,IL,096,123458
17,IL,097,103784
17,IL,098,103277
17,IL,099,101016
17,IL,100,117164
17,IL,101,101824
17,IL,102,118987
17,IL,103,114337
17,IL,104,105087
17,IL,105,109839
17,IL,106,116687
17,IL,107,102096
17,IL,108,102103
17,IL,109,103405
17,IL,110,110024
17,IL,111,103196
17,IL,112,119652
17,IL,113,104465
17,IL,114,104780
17,IL,115,105561
17,IL,116,110789
17,IL,117,110775
17,IL,118,99068
18,IN,001,60577
18,IN,002,56633
18,IN,003,54541
18,IN,004,74588
18,IN,005,62790
18,IN,006,56014
18,IN,007,59426
18,IN,008,59962
18,IN,009,63447
18,IN,010,68806
18,IN,011,57447
18,IN,012,63109
18,IN,013,70000
18,IN,014,49514
18,IN,015,69617
18,IN,016,63265
18,IN,017,61387
18,IN,018,68681
18,IN,019,72438
18,IN,020,59794
18,IN,021,64156
18,IN,022,57862
18,IN,023,60512
18,IN,024,60089
18,IN,025,60288
18,IN,026,76639
18,IN,027,60844
18,IN,028,69656
18,IN,029,118413
18,IN,030,57655
18,IN,031,55677
18,IN,032,63192
18,IN,033,58513
18,IN,034,59305
18,IN,035,62848
18,IN,036,55138
18,IN,037,65145
18,IN,038,66895
18,IN,039,76305
18,IN,040,94412
18,IN,041,68641
18,IN,042,58863
18,IN,043,60465
18,IN,044,62916
18,IN,045,59062
18,IN,046,63864
18,IN,047,62157
18,IN,048,66743
18,IN,049,69174
18,IN,050,61491
18,IN,051,62592
18,IN,052,62273
18,IN,053,71916
18,IN,054,63197
18,IN,055,63163
18,IN,056,57307
18,IN,057,63428
18,IN,058,79869
18,IN,059,63053
18,IN,060,70940
18,IN,061,67665
18,IN,062,60681
18,IN,063,64153
18,IN,064,60833
18,IN,065,64454
18,IN,066,64746
18,IN,067,63451
18,IN,068,65442
18,IN,069,62245
18,IN,070,72273
18,IN,071,67720
18,IN,072,63511
18,IN,073,62643
18,IN,074,61219
18,IN,075,61152
18,IN,076,59647
18,IN,077,58132
18,IN,078,77639
18,IN,079,62178
18,IN,080,57771
18,IN,081,57160
18,IN,082,65744
18,IN,083,67188
18,IN,084,62498
18,IN,085,78990
18,IN,086,61387
18,IN,087,80568
18,IN,088,64670
18,IN,089,64664
18,IN,090,87489
18,IN,091,75356
18,IN,092,64307
18,IN,093,78464
18,IN,094,64541
18,IN,095,67075
18,IN,096,52952
18,IN,097,58011
18,IN,098,59049
